,Date,End Score Diff,Map,Match ID,Team 1 ID,Team 2 ID,Winner,Recent Matches Score Difference,Past Encounters Score Difference,Common Opponents Average Score difference,Map Score Difference,Winner(predicted),Predicted Probability 0,Predicted Probability 1
38170,2018-01-07 00:00:00,-8,Train,2318402,5929,4608,0,-0.4025806719242768,-0.3764161995305751,-0.3741291453833389,-0.24743885832417578,0,0.5322145278124526,0.46778547218754735
38174,2018-01-06 00:00:00,4,Overpass,2318416,6745,5929,1,0.5283104359417633,-0.7981695623138068,-0.40552785359107396,-0.23860964596455284,0,0.5282415968974088,0.4717584031025912
38175,2018-01-06 00:00:00,-7,Mirage,2318416,6745,5929,0,0.5283104359417637,-0.5624838595820008,-0.40552785359107396,-0.22928708276374604,0,0.5103247923172085,0.48967520768279155
38176,2018-01-06 00:00:00,-3,Inferno,2318416,6745,5929,0,0.3590575072388471,-0.6865289662829512,-0.40552785359107396,0.7179978556903982,1,0.49414627230966857,0.5058537276903314
38178,2018-01-06 00:00:00,3,Mirage,2318413,8502,8372,1,-0.7410865293301099,-0.7795627963086641,0.8288772145091468,1.1788098467523065,1,0.43379381398635286,0.5662061860136471
38180,2018-01-06 00:00:00,-11,Mirage,2318442,8587,8497,0,-0.5718336006271931,-1.6168672665400798,0.5817061145904744,-1.6879651011410262,0,0.604708668918109,0.39529133108189096
38188,2018-01-08 00:00:00,9,Inferno,2318458,4501,8592,1,0.10517811418447244,0.8020123141284543,1.127187162686855,0.6830723946291588,1,0.2885876170820868,0.7114123829179132
38191,2018-01-08 00:00:00,-2,Inferno,2318421,7924,7157,0,0.4436839715903055,0.8640348674789294,0.15544250649797076,0.6800584724664777,1,0.33821045096103386,0.6617895490389661
38192,2018-01-08 00:00:00,-4,Mirage,2318421,7924,7157,0,0.6129369002932217,0.6691068426631501,0.15544250649797076,0.2686362702448844,1,0.35795762416594834,0.6420423758340517
38193,2018-01-09 00:00:00,12,Cobblestone,2318462,7613,4602,1,1.120695686401971,-0.23169690837946624,-0.08617324236440949,-0.02127981259592623,1,0.4300012511934128,0.5699987488065872
38194,2018-01-09 00:00:00,3,Overpass,2318462,7613,4602,1,1.5438280081592624,0.001921375907323767,-0.08617324236440949,0.20615926810331744,1,0.3890550480942594,0.6109449519057406
38195,2018-01-08 00:00:00,14,Inferno,2318460,7606,8497,1,0.3590575072388471,0.98807997417988,1.3127293941907923,1.4081725525346338,1,0.23939689403477182,0.7606031059652282
38196,2018-01-08 00:00:00,-6,Mirage,2318460,7606,8497,0,0.8668162933475964,1.285788230262161,1.3127293941907923,0.1843180064211681,1,0.23861188575951398,0.761388114240486
38197,2018-01-08 00:00:00,3,Train,2318460,7606,8497,1,0.6129369002932217,0.8640348674789294,1.3127293941907923,3.565113934677242,1,0.1893462891376928,0.8106537108623072
38198,2018-01-08 00:00:00,-5,Cobblestone,2318420,7157,7801,0,0.020551649833014066,0.21279805729893955,0.10211093146038631,0.4430888424256989,1,0.41122102570456764,0.5887789742954324
38199,2018-01-08 00:00:00,-9,Overpass,2318420,7157,7801,0,0.1051781141844729,0.03116057962969066,0.10211093146038631,0.7308468980770699,1,0.41155455545416153,0.5884454445458385
